date,sentiment_mean,sentiment_std,news_volume,log_volume,article_impact,goldstein_mean,goldstein_std,sentiment_min,sentiment_max,positive_ratio,negative_ratio,extreme_ratio,sentiment_lag1,sentiment_std_lag1,volume_lag1,goldstein_lag1,sentiment_lag2,sentiment_std_lag2,volume_lag2,goldstein_lag2,sentiment_lag3,sentiment_std_lag3,volume_lag3,goldstein_lag3,sentiment_ma5,sentiment_ma20,sentiment_momentum,sentiment_vol5,sentiment_vol10,volume_ma5,volume_sum5,volume_sum10
2018-06-02,-0.2974923088082245,0.36985067052484183,21,3.091042453358316,-0.9195613560738041,-5.738095238095238,2.8579840031669654,-0.8885756134986877,0.0394148267805576,0.0,0.42857142857142855,0.38095238095238093,-0.44408976145692775,0.3786149866067664,37.0,-5.032432432432432,-0.17307794094085693,0.24699824749669586,45.0,-6.953333333333333,-0.3112806029341839,0.3699885156317845,27.0,-6.051851851851852,-0.3263985423916152,-0.28408170342658307,-0.04231683896503213,0.10579135267090946,0.0857447961789948,34.0,170.0,356.0
2018-06-03,-0.33343550975301434,0.4329140586915991,42,3.7612001156935624,-1.2541176778593794,-5.6119047619047615,3.328892449946477,-0.944898247718811,0.2414880394935608,0.07142857142857142,0.4523809523809524,0.4523809523809524,-0.2974923088082245,0.36985067052484183,21.0,-5.738095238095238,-0.44408976145692775,0.3786149866067664,37.0,-5.032432432432432,-0.17307794094085693,0.24699824749669586,45.0,-6.953333333333333,-0.3118752247786415,-0.2969786924138755,-0.014896532364766013,0.09671793712249849,0.08542639312931491,34.4,172.0,352.0
2018-06-04,-0.19925059798436287,0.34080586267257945,39,3.6888794541139363,-0.7350114371244318,-5.7384615384615385,3.029565034753795,-0.92836993932724,0.4596141874790191,0.07692307692307693,0.3333333333333333,0.28205128205128205,-0.33343550975301434,0.4329140586915991,42.0,-5.6119047619047615,-0.2974923088082245,0.36985067052484183,21.0,-5.738095238095238,-0.44408976145692775,0.3786149866067664,37.0,-5.032432432432432,-0.2894692237886773,-0.289246959170974,-0.00022226461770330497,0.10907708974450993,0.09107702529348709,36.8,184.0,356.0
2018-06-05,-0.2264894996104496,0.2982868839844893,42,3.7612001156935624,-0.8518723321382,-5.978571428571429,3.142378210261542,-0.9213554263114928,-0.0083114001899957,0.0,0.35714285714285715,0.23809523809523808,-0.19925059798436287,0.34080586267257945,39.0,-5.7384615384615385,-0.33343550975301434,0.4329140586915991,42.0,-5.6119047619047615,-0.2974923088082245,0.36985067052484183,21.0,-5.738095238095238,-0.30015153552259577,-0.28410804036049664,-0.01604349516209913,0.09674735402483725,0.08774582223311175,36.2,181.0,364.0
2018-06-06,-0.3597295635125854,0.4341590764397577,55,4.02535169073515,-1.448038006692803,-6.474545454545455,3.0222338626686645,-0.9305148124694824,0.8507435321807861,0.10909090909090909,0.6363636363636364,0.5818181818181818,-0.2264894996104496,0.2982868839844893,42.0,-5.978571428571429,-0.19925059798436287,0.34080586267257945,39.0,-5.7384615384615385,-0.33343550975301434,0.4329140586915991,42.0,-5.6119047619047615,-0.28327949593372737,-0.28922126948217086,0.005941773548443496,0.06864437700540411,0.08799280233593315,39.8,199.0,375.0
2018-06-07,-0.25863918791315993,0.433195422588029,49,3.912023005428146,-1.0118024532215348,-5.824489795918367,3.2642485532267327,-0.9275035858154296,0.827062726020813,0.08163265306122448,0.46938775510204084,0.4489795918367347,-0.3597295635125854,0.4341590764397577,55.0,-6.474545454545455,-0.2264894996104496,0.2982868839844893,42.0,-5.978571428571429,-0.19925059798436287,0.34080586267257945,39.0,-5.7384615384615385,-0.2755088717547144,-0.29096617696532523,0.015457305210610839,0.06883209590504612,0.08831324762226267,45.4,227.0,397.0
2018-06-08,-0.30492043181469564,0.35529351008924415,57,4.060443010546419,-1.2381120361347768,-6.101754385964912,2.9006648498667844,-0.9368978142738342,0.2579404413700104,0.10526315789473684,0.5263157894736842,0.3157894736842105,-0.25863918791315993,0.433195422588029,49.0,-5.824489795918367,-0.3597295635125854,0.4341590764397577,55.0,-6.474545454545455,-0.2264894996104496,0.2982868839844893,42.0,-5.978571428571429,-0.2698058561670507,-0.29390241042668297,0.024096554259632252,0.06383250004530604,0.0803743803373434,48.4,242.0,414.0
2018-06-09,-0.2560495387049431,0.43694333937155794,47,3.871201010907891,-0.991219233077075,-6.093617021276596,2.8774548635252595,-0.9236000180244446,0.4573080241680145,0.1276595744680851,0.425531914893617,0.3829787234042553,-0.30492043181469564,0.35529351008924415,57.0,-6.101754385964912,-0.25863918791315993,0.433195422588029,49.0,-5.824489795918367,-0.3597295635125854,0.4341590764397577,55.0,-6.474545454545455,-0.28116564431116675,-0.28814308348816375,0.006977439176997002,0.05211602471321212,0.08071069028498488,50.0,250.0,434.0
2018-06-10,-0.2867172192385856,0.43908144257332254,47,3.871201010907891,-1.1099399889611121,-4.553191489361702,1.9928436929695266,-0.9245898723602296,0.90584534406662,0.10638297872340426,0.5106382978723404,0.3829787234042553,-0.2560495387049431,0.43694333937155794,47.0,-6.093617021276596,-0.30492043181469564,0.35529351008924415,57.0,-6.101754385964912,-0.25863918791315993,0.433195422588029,49.0,-5.824489795918367,-0.29321118823679393,-0.29062950122963127,-0.0025816870071626585,0.04236798222169802,0.07050674259679822,51.0,255.0,436.0
2018-06-11,-0.5830837597919477,0.31981436075054603,37,3.6375861597263857,-2.1210174145804133,-6.751351351351351,3.105063138290177,-0.9218751788139344,0.0467928647994995,0.0,0.7837837837837838,0.7567567567567568,-0.2867172192385856,0.43908144257332254,47.0,-4.553191489361702,-0.2560495387049431,0.43694333937155794,47.0,-6.093617021276596,-0.30492043181469564,0.35529351008924415,57.0,-6.101754385964912,-0.3378820274926664,-0.30306234202754717,-0.03481968546511921,0.1385678333540105,0.10703372826209302,47.4,237.0,436.0
